"","Boro-Block-Lot","CondoSection","Address","Neighborhood","BldgClassification","TotalUnits","YearBuilt","GrossSqFt","EstGrossIncome","GrossIncomePerSqFt","EstimatedExpense","ExpensePerSqFt","NetOperatingIncome","FullMarketValue","MarketValuePerSqFt","ReportYear"
"16","1-00695-7507","2065-R1","515 WEST 23 STREET","CHELSEA","R4-ELEVATOR",11,2008,35990,1530295,42.52,334707,9.3,1195588,9104001,252.96,2013
"17","4-01542-7502","0924-R1","82-25 QUEENS BOULEVARD","ELMHURST","R4-ELEVATOR",30,2014,25455,1032455,40.56,247423,9.72,785032,6280000,246.71,2017
"18","4-02383-7501","0154-R1","65-31 52 AVENUE","MASPETH","R2-WALK-UP",17,1987,17400,310068,17.82,163212,9.38,146856,1099999,63.22,2016
"19","1-00717-7501","0572-R1","445 WEST 19 STREET","CHELSEA","R4  -ELEVATOR",71,1989,54355,2870488,52.81,534853,9.84,2335635,18969000,348.98,2019
"20","1-00867-7501","1169-R1","52 PARK AVENUE","MURRAY HILL","R4-CONDOMINIUM",17,1998,30371,1122512,36.96,309784,10.2,812728,6135999,202.03,2012
"21","3-01005-7502","0599-R1","357 9 STREET","PARK SLOPE","RR-CONDOMINIUM",131,1920,37880,816288,21.55,290184,7.66,526104,3894000,102.8,2014
"22","1-00407-7502","1081-R1","503 EAST 13 STREET","ALPHABET CITY","R2-WALK-UP",18,1999,19119,800130,41.85,259636,13.58,540494,4116001,215.28,2013
"23","1-00894-7502","0361-R1","155 EAST 38 STREET","MURRAY HILL","R4  -ELEVATOR",176,1960,128571,6190694,48.15,1886137,14.67,4304557,34959005,271.9,2019
"24","1-01073-7503","2285-R1","510 WEST 45 STREET","CLINTON","RR-CONDOMINIUM",100,2011,185351,8644771,46.64,2248308,12.13,6396463,51172000,276.08,2015
"25","1-01382-7501","0805-R1","20 EAST 68 STREET","UPPER EAST SIDE (59-79)","R9  -CONDOPS",84,1955,96152,4009538,41.7,1322090,13.75,2687448,21631000,224.97,2018
"26","1-01063-7502","2197-R1","425 WEST 53 STREET","CLINTON","R4  -ELEVATOR",83,2007,150994,9485443,62.82,1629225,10.79,7856218,63804003,422.56,2019
"27","1-00817-7501","0359-R1","108 5 AVENUE","FLATIRON","R4  -ELEVATOR",50,1986,64600,3094986,47.91,663442,10.27,2431544,19571001,302.96,2018
"28","4-04981-7501","0010-R3","140-55 34 AVENUE","FLUSHING-NORTH","R4-CONDOMINIUM",1,1967,1075,17587,16.36,8374,7.79,9213,64000,59.53,2014
"29","1-01048-7503","0538-R2","301 WEST 57 STREET","MIDTOWN WEST","R4-ELEVATOR",20,1987,15764,637969,40.47,194055,12.31,443914,3552002,225.32,2016
"30","1-01025-7502","1903-R2","890 8 AVENUE","MIDTOWN WEST","RR-CONDOMINIUM",304,2003,268626,15588367,58.03,5060914,18.84,10527453,84119000,313.15,2015
"31","1-00816-7501","0678-R1","22 WEST 15 STREET","FLATIRON","R4-ELEVATOR",133,1989,136255,6571579,48.23,1858518,13.64,4713061,37700997,276.69,2017
"32","1-01228-7501","0508-R1","2250 BROADWAY","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM",123,1987,132774,4827663,36.36,1950450,14.69,2877213,22881998,172.34,2015
